DATE,COUNTRY,CITY,VALUE
18-08-2020,IN,Bengaluru,69
19-08-2020,IN,Bengaluru,68
20-08-2020,IN,Bengaluru,70
21-08-2020,IN,Bengaluru,70
22-08-2020,IN,Bengaluru,64
23-08-2020,IN,Bengaluru,56
24-08-2020,IN,Bengaluru,71
25-08-2020,IN,Bengaluru,72
26-08-2020,IN,Bengaluru,72
27-08-2020,IN,Bengaluru,68
28-08-2020,IN,Bengaluru,72
29-08-2020,IN,Bengaluru,73
30-08-2020,IN,Bengaluru,64
31-08-2020,IN,Bengaluru,68
01-09-2020,IN,Bengaluru,105
02-09-2020,IN,Bengaluru,113
03-09-2020,IN,Bengaluru,107
04-09-2020,IN,Bengaluru,72
05-09-2020,IN,Bengaluru,72
06-09-2020,IN,Bengaluru,68
07-09-2020,IN,Bengaluru,54
08-09-2020,IN,Bengaluru,61
09-09-2020,IN,Bengaluru,61
10-09-2020,IN,Bengaluru,114
11-09-2020,IN,Bengaluru,153
12-09-2020,IN,Bengaluru,64
13-09-2020,IN,Bengaluru,60
14-09-2020,IN,Bengaluru,66
15-09-2020,IN,Bengaluru,65
16-09-2020,IN,Bengaluru,61
17-09-2020,IN,Bengaluru,63
18-09-2020,IN,Bengaluru,56
19-09-2020,IN,Bengaluru,61
20-09-2020,IN,Bengaluru,52
21-09-2020,IN,Bengaluru,57
22-09-2020,IN,Bengaluru,62
23-09-2020,IN,Bengaluru,71
24-09-2020,IN,Bengaluru,72
25-09-2020,IN,Bengaluru,71
26-09-2020,IN,Bengaluru,70
27-09-2020,IN,Bengaluru,68
28-09-2020,IN,Bengaluru,73
28-09-2020,IN,Bengaluru,73
29-09-2020,IN,Bengaluru,77
29-09-2020,IN,Bengaluru,77
30-09-2020,IN,Bengaluru,70
30-09-2020,IN,Bengaluru,70
01-10-2020,IN,Bengaluru,97
02-10-2020,IN,Bengaluru,92
03-10-2020,IN,Bengaluru,107
04-10-2020,IN,Bengaluru,56
05-10-2020,IN,Bengaluru,69
06-10-2020,IN,Bengaluru,63
07-10-2020,IN,Bengaluru,56
08-10-2020,IN,Bengaluru,64
09-10-2020,IN,Bengaluru,55
10-10-2020,IN,Bengaluru,71
11-10-2020,IN,Bengaluru,133
12-10-2020,IN,Bengaluru,80
13-10-2020,IN,Bengaluru,71
